latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,risk_level,risk_score
26.3998,95.0148,467.6,2.2,1.4,2000-12-27,410,Terra,MODIS,100,6.2,319.5,2975.6,D,0,High,0.9814155663864345
26.4137,95.0063,431.2,2.2,1.4,2000-12-27,410,Terra,MODIS,94,6.2,306.4,1531.9,D,0,High,0.9762249269062261
26.4143,94.9992,421.7,2.2,1.4,2000-12-27,410,Terra,MODIS,94,6.2,302.3,1258.4,D,0,High,0.9755062766770928
26.3992,95.0232,428.9,2.2,1.4,2000-12-27,410,Terra,MODIS,100,6.2,307.5,1448.4,D,0,High,0.9719306027452534
26.4018,95.0714,409.4,2.2,1.4,2000-12-26,506,Terra,MODIS,100,6.2,299.1,970.6,D,0,High,0.969653538181354
26.4018,95.0759,395.7,2.2,1.4,2000-12-26,506,Terra,MODIS,100,6.2,295.5,708.2,D,0,High,0.9612687034217755
26.5411,95.0771,402.9,1.1,1.1,2000-12-21,447,Terra,MODIS,100,6.2,300.3,320.4,D,0,High,0.9610752626505323
26.5083,95.1787,406.2,1.4,1.2,2000-12-28,453,Terra,MODIS,100,6.2,303.3,459.6,D,0,High,0.9561884743410636
26.4058,95.0556,394.1,2.2,1.4,2000-12-26,506,Terra,MODIS,100,6.2,296.7,674.6,D,0,High,0.9549518505445673
26.5107,95.165,392.5,1.4,1.2,2000-12-28,453,Terra,MODIS,100,6.2,300.7,329.7,D,0,High,0.9385692424738964
26.6007,95.1121,370.3,2.2,1.4,2000-12-11,410,Terra,MODIS,94,6.2,288.8,367.2,D,0,High,0.9377185407797562
26.5123,95.1722,399.3,1.4,1.2,2000-12-28,453,Terra,MODIS,100,6.2,306.8,390.9,D,0,High,0.9256293905744153
31.5895,77.8886,353.4,1.3,1.1,2000-12-21,1725,Terra,MODIS,100,6.2,284.1,107.0,N,0,High,0.9242790045344963
26.5335,95.0647,372.1,1.1,1.1,2000-12-21,447,Terra,MODIS,100,6.2,293.4,145.4,D,0,High,0.9217953207449942
26.4123,95.0189,375.4,2.2,1.4,2000-12-27,410,Terra,MODIS,100,6.2,297.2,404.1,D,0,High,0.905729312770785
26.5428,95.0668,371.0,1.1,1.1,2000-12-21,447,Terra,MODIS,100,6.2,296.1,139.7,D,0,High,0.9007685528136569
26.5189,95.1787,379.7,1.4,1.2,2000-12-28,453,Terra,MODIS,100,6.2,300.6,239.3,D,0,High,0.9004008888126365
26.4059,95.0499,362.1,2.2,1.4,2000-12-26,506,Terra,MODIS,100,6.2,292.0,278.3,D,0,High,0.8936707326532761
21.8253,73.0779,352.8,1.0,1.0,2000-11-08,1742,Terra,MODIS,100,6.2,293.5,71.1,N,0,High,0.8907928986977707
26.5999,95.1198,347.8,2.2,1.4,2000-12-11,410,Terra,MODIS,83,6.2,286.6,182.0,D,0,High,0.8760931873548127
27.6275,86.5758,362.8,1.0,1.0,2000-12-17,512,Terra,MODIS,100,6.2,296.2,91.8,D,0,High,0.8746178633179682
29.0343,82.2202,360.5,1.0,1.0,2000-12-22,530,Terra,MODIS,100,6.2,296.4,87.5,D,0,High,0.8638639428736741
26.502,95.1703,348.4,1.4,1.2,2000-12-28,453,Terra,MODIS,95,6.2,289.5,93.6,D,0,High,0.8544166802782965
26.4144,95.0784,346.9,2.2,1.4,2000-12-26,506,Terra,MODIS,95,6.2,288.8,176.6,D,0,High,0.8518958784540093
21.5099,72.8509,343.3,1.0,1.0,2000-11-01,1735,Terra,MODIS,100,6.2,293.2,50.5,N,0,High,0.849644035987297
26.4319,95.0453,357.3,1.0,1.0,2000-12-30,441,Terra,MODIS,93,6.2,295.2,78.9,D,0,High,0.8461436090298204
27.6289,86.5658,348.5,1.0,1.0,2000-12-17,512,Terra,MODIS,95,6.2,291.9,56.2,D,0,High,0.8426078421072872
26.4145,95.0733,348.5,2.2,1.4,2000-12-26,506,Terra,MODIS,95,6.2,290.9,181.2,D,0,High,0.838939436973474
26.5317,95.0756,345.4,1.1,1.1,2000-12-21,447,Terra,MODIS,94,6.2,291.3,61.7,D,0,High,0.8181964078706105
26.6321,95.2654,327.2,1.0,1.0,2000-12-26,1603,Terra,MODIS,100,6.2,281.6,29.1,N,0,High,0.8168825640428011
28.3172,84.7901,336.6,2.1,1.4,2000-12-28,453,Terra,MODIS,90,6.2,287.8,112.4,D,0,High,0.8156745722113975
31.5908,77.8996,323.0,1.3,1.1,2000-12-21,1725,Terra,MODIS,100,6.2,280.8,35.8,N,0,High,0.8135831092906367
21.525,72.936,325.7,1.1,1.1,2000-12-17,1747,Terra,MODIS,100,6.2,287.1,31.2,N,0,High,0.8121415166830724
16.5639,74.5754,328.3,1.0,1.0,2000-12-03,1733,Terra,MODIS,100,6.2,290.7,27.2,N,0,High,0.8048435012440511
31.4315,75.7686,351.1,1.2,1.1,2000-12-11,548,Terra,MODIS,96,6.2,297.1,78.7,D,0,High,0.80365845834277
16.0771,74.023,328.5,1.0,1.0,2000-12-19,1733,Terra,MODIS,100,6.2,291.4,28.7,N,0,High,0.8009153449258771
26.5099,95.186,349.2,1.4,1.2,2000-12-28,453,Terra,MODIS,96,6.2,295.3,93.3,D,0,High,0.7928577491785083
33.3576,71.2957,317.8,1.3,1.1,2000-12-01,1750,Terra,MODIS,96,6.2,280.2,28.5,N,0,High,0.7924148507752363
21.5482,72.966,322.0,1.1,1.1,2000-12-17,1747,Terra,MODIS,100,6.2,286.7,26.0,N,0,High,0.7919844954908197
31.0716,78.3916,338.1,1.0,1.0,2000-11-09,549,Terra,MODIS,91,6.2,290.9,40.4,D,0,High,0.7901280973146315
27.9884,85.7408,340.2,1.3,1.1,2000-12-22,530,Terra,MODIS,92,6.2,291.9,64.4,D,0,High,0.7893502047113776
26.4118,95.0259,345.2,2.2,1.4,2000-12-27,410,Terra,MODIS,94,6.2,293.6,148.5,D,0,High,0.7859807348718382
16.6519,75.0932,318.1,1.9,1.4,2000-12-07,1709,Terra,MODIS,96,6.2,286.5,48.3,N,0,High,0.7857470101348518
26.6313,95.0915,341.7,1.1,1.1,2000-12-21,447,Terra,MODIS,92,6.2,292.0,53.1,D,0,High,0.7838324619910829
15.0737,76.453,324.5,1.1,1.0,2000-12-27,552,Terra,MODIS,79,6.2,290.7,20.5,D,0,High,0.7813585710850873
25.8212,68.6638,319.3,1.3,1.2,2000-11-30,608,Terra,MODIS,69,6.2,285.6,23.5,D,0,High,0.775680958168685
16.5631,74.6295,314.1,1.1,1.0,2000-12-28,1727,Terra,MODIS,89,6.2,285.6,16.6,N,0,High,0.7711164474025167
26.5145,95.1594,337.8,1.4,1.2,2000-12-28,453,Terra,MODIS,91,6.2,290.9,60.2,D,0,High,0.7702285487204528
26.6128,95.1205,332.5,2.2,1.4,2000-12-11,410,Terra,MODIS,83,6.2,288.6,102.0,D,0,High,0.7604264467229283
17.0944,81.6285,302.6,1.0,1.0,2000-12-07,1708,Terra,MODIS,50,6.2,278.8,7.1,N,0,High,0.7592868122026839
27.9063,90.3576,325.1,2.0,1.4,2000-12-31,524,Terra,MODIS,84,6.2,285.2,65.7,D,0,High,0.7582454192219563
26.6535,86.9783,316.9,1.0,1.0,2000-12-29,1634,Terra,MODIS,94,6.2,282.2,18.9,N,0,High,0.7548113892287838
27.9342,90.8561,321.6,1.3,1.1,2000-12-30,441,Terra,MODIS,81,6.2,283.6,28.8,D,0,High,0.753833829913834
33.3561,71.2817,315.2,1.3,1.1,2000-12-01,1750,Terra,MODIS,91,6.2,281.6,25.2,N,0,High,0.7535273349825713
18.882,74.3202,312.7,1.0,1.0,2000-12-19,1734,Terra,MODIS,86,6.2,285.3,14.1,N,0,High,0.75270530727239
17.1957,74.1844,313.2,2.2,1.4,2000-11-05,1710,Terra,MODIS,87,6.2,286.9,43.0,N,0,High,0.7417091517499412
28.5183,69.9875,341.6,1.2,1.1,2000-11-30,607,Terra,MODIS,90,6.2,298.7,56.6,D,0,High,0.7405262188087823
21.5091,72.9877,315.4,1.0,1.0,2000-12-03,1735,Terra,MODIS,91,6.2,286.9,16.0,N,0,High,0.738974726025618
28.533,82.9357,327.2,2.3,1.5,2000-12-03,459,Terra,MODIS,85,6.2,288.7,80.8,D,0,High,0.7384854066454523
27.7758,94.0672,337.0,1.0,1.0,2000-11-28,441,Terra,MODIS,90,6.2,292.6,38.8,D,0,High,0.7352317860265577
10.7749,78.2717,316.8,1.0,1.0,2000-12-06,535,Terra,MODIS,66,6.2,291.2,11.5,D,0,High,0.7329350200295753
28.3886,84.9507,326.9,1.3,1.1,2000-12-26,505,Terra,MODIS,85,6.2,288.8,37.9,D,0,High,0.7312721174418955
29.2975,81.6897,333.0,1.6,1.2,2000-12-02,554,Terra,MODIS,88,6.2,292.3,64.9,D,0,High,0.7306674987172616
16.2615,80.8984,336.7,1.1,1.0,2000-12-22,533,Terra,MODIS,88,6.2,299.5,35.3,D,0,High,0.7301320100587854
26.5166,95.1916,334.3,1.4,1.2,2000-12-28,453,Terra,MODIS,89,6.2,291.8,53.6,D,0,High,0.7288088858130621
27.8974,90.3629,314.5,2.0,1.4,2000-12-31,524,Terra,MODIS,72,6.2,281.5,37.6,D,0,High,0.7287150998718092
17.6604,75.462,307.0,1.2,1.1,2000-12-26,1740,Terra,MODIS,70,6.2,284.1,12.7,N,0,High,0.7281199704309546
28.9729,82.1395,324.8,1.2,1.1,2000-12-20,542,Terra,MODIS,83,6.2,288.2,29.3,D,0,High,0.727595762141767
