latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
24.6078,88.1259,312.6,3.4,1.7,2000-11-02,544,Terra,MODIS,0,6.2,298.5,34.0,D,0
27.6587,90.3176,305.9,1.2,1.1,2000-11-03,448,Terra,MODIS,38,6.2,288.8,8.3,D,0
27.1644,91.2498,308.6,1.1,1.0,2000-11-03,448,Terra,MODIS,45,6.2,296.0,7.0,D,0
28.0703,90.1799,311.4,1.1,1.0,2000-11-08,506,Terra,MODIS,44,6.2,298.3,10.8,D,0
27.8122,90.6568,301.5,1.0,1.0,2000-11-10,454,Terra,MODIS,21,6.2,284.4,5.1,D,0
28.0706,90.1825,306.4,1.2,1.1,2000-11-15,512,Terra,MODIS,21,6.2,289.7,8.6,D,0
26.7731,90.8115,307.0,1.3,1.1,2000-11-28,441,Terra,MODIS,60,6.2,293.4,8.2,D,0
27.2742,90.0572,312.1,1.2,1.1,2000-12-05,447,Terra,MODIS,72,6.2,289.5,14.6,D,0
27.2724,90.0716,303.7,1.2,1.1,2000-12-05,447,Terra,MODIS,55,6.2,288.2,7.1,D,0
28.0703,90.1804,307.0,1.2,1.1,2000-12-17,511,Terra,MODIS,27,6.2,292.3,9.6,D,0
27.689,90.3038,315.4,1.0,1.0,2000-12-19,459,Terra,MODIS,29,6.2,294.1,12.4,D,0
28.0743,90.0046,301.5,1.5,1.2,2000-12-24,518,Terra,MODIS,45,6.2,281.0,9.4,D,0
28.0714,90.021,307.8,1.5,1.2,2000-12-24,518,Terra,MODIS,66,6.2,280.8,16.2,D,0
27.208,91.3929,300.9,1.0,1.0,2000-12-24,1616,Terra,MODIS,35,6.2,285.1,6.8,N,0
27.4151,89.1166,313.2,3.6,1.8,2000-12-25,423,Terra,MODIS,70,6.2,290.7,72.3,D,0
27.4054,89.1092,308.8,3.6,1.8,2000-12-25,423,Terra,MODIS,65,6.2,290.0,52.5,D,0
